node1,node2,distance,time_minutes,gradient,max_gradient,min_gradient,sidewalk,signal,road_width,illumination,nature,park,garbage,toilet,crosswalk
1,254,44.43179805,0.555397476,0.000225064,0.000225064,0.000225064,0,0,1,1,0,0,0,0,0
254,255,82.26866927,1.028358366,-0.011183571,-0.011183571,-0.011183571,1,0,1,1,0,0,0,0,0
255,256,82.26866927,1.028358366,-0.011183571,-0.011183571,-0.011183571,1,0,1,1,0,0,0,0,0
56,256,82.26866927,1.028358366,-0.011183571,-0.011183571,-0.011183571,1,0,3,1,0,0,0,0,0
56,207,8.917358936,0.111466987,-0.005607129,-0.005607129,-0.005607129,0,1,0,0,0,0,0,0,1
55,207,127.2702007,1.590877508,-0.001650035,-0.001650035,-0.001650035,1,0,3,1,0,0,0,0,0
55,252,82.26866927,1.028358366,-0.011183571,-0.011183571,-0.011183571,1,1,0,0,0,0,0,0,1
21,252,82.26866927,1.028358366,-0.011183571,-0.011183571,-0.011183571,1,0,3,1,0,0,0,0,0
21,26,62.0871977,0.776089971,0.000966383,0.000966383,0.000966383,1,0,3,1,0,0,0,0,0
26,195,192.7721399,2.409651003,0.002443673,0.003186234,0.001546383,1,0,2,1,0,0,0,0,0
195,197,10.70466176,0.133808272,-0.008407849,-0.008407849,-0.008407849,0,1,0,0,0,0,0,0,1
32,197,46.26135709,0.578266964,-0.002161636,-0.002161636,-0.002161636,0,0,2,1,0,0,0,0,0
32,33,42.96328752,0.537041094,0,0,0,0,0,0,0,0,0,0,0,0
33,34,101.1558054,1.264447567,-0.019577516,-0.019577516,-0.019577516,0,0,1,1,0,0,0,0,0
34,48,125.6836798,1.571045998,-0.004694376,-0.004694376,-0.004694376,0,0,1,0,0,0,1,0,0
48,49,124.4934664,1.556168329,0.006506503,0.006506503,0.006506503,0,0,1,1,0,0,0,0,0
49,101,42.08913828,0.526114228,-0.005702276,-0.005702276,-0.005702276,0,0,1,1,0,0,0,0,0
99,101,44.5594247,0.556992809,0,0,0,0,0,1,0,1,0,0,0,0
93,99,42.36650654,0.529581332,0.003776595,0.003776595,0.003776595,0,0,2,1,0,0,0,0,0
92,93,43.36821506,0.542102688,0.002305842,0.002305842,0.002305842,0,0,2,1,0,0,0,0,0
91,92,41.2204675,0.515255844,0.004366804,0.004366804,0.004366804,0,0,2,1,0,0,0,0,0
91,242,82.26866927,1.028358366,-0.011183571,-0.011183571,-0.011183571,1,0,2,1,0,0,0,0,0
242,243,82.26866927,1.028358366,-0.011183571,-0.011183571,-0.011183571,1,0,0,0,0,0,0,0,0
243,244,82.26866927,1.028358366,-0.011183571,-0.011183571,-0.011183571,1,0,2,1,0,0,0,0,0
244,245,82.26866927,1.028358366,-0.011183571,-0.011183571,-0.011183571,1,0,2,1,0,0,0,0,0
245,246,82.26866927,1.028358366,-0.011183571,-0.011183571,-0.011183571,1,0,2,1,0,0,0,0,0
